region,artist_name,title,permalink,machine_clusters
Asia,Du Zhenjun,The Tower of Babel: Independence of the country,https://kadist.org/work/the-tower-of-babel-independence-of-the-country/,"Time,Power,Urbanization"
Asia,Du Zhenjun,The Tower of Babel: The Carnaval,https://kadist.org/work/the-tower-of-babel-the-carnaval/,"Time,Power,Urbanization"
Asia,Qiu Anxiong,Portrait: Cover and Clean,https://kadist.org/work/portrait-cover-and-clean/,"Materiality,Fantasy,Geopolitics"
Europe,Andrew Grassie,After the Archive Collections Room,https://kadist.org/work/after-the-archive/,"Land,Urbanization,Geopolitics"
Americas,Pascal Grandmaison,Solo,https://kadist.org/work/solo/,"Time,Politics,Body"
Europe,Vidya Gastaldon,Floating Mountain (Mt Hemo),https://kadist.org/work/floating-mountain/,"Identity,Economy,Design"
Unspecified,Sergio De La Torre,Nuevo Dragon City,https://kadist.org/work/nuevo-dragon-city/,"Body,Geopolitics,Time"
Unspecified,Miguel Calderon,Tropical Vulture,https://kadist.org/work/tropical-vulture/,"Emotion,Materiality,Violence"
Americas,Nao Bustamante,Silver & Gold,https://kadist.org/work/silver-gold/,"Media,Activism,Values"
Unspecified,Alexandre Arrechea,White Corner,https://kadist.org/work/white-corner/,"Technology,Inequality,Violence"
Asia,Tomoko Yoneda,Japanese House Series,https://kadist.org/work/japanese-house-series/,"War,Mind,Inequality"
Asia,Lin Yilin,The Result of 1000 Pieces,https://kadist.org/work/the-result-of-1000-pieces/,"Environmental,Space,Body"
